city;month;avg_mth_en_consumption_house_kwh;energy_price_eur_kwh;solar_panel_brand;solar_panel_power_kwh;solar_panel_efficiency_%
oslo;10;1321;0.2751;jinko_solar;405;0.8
oslo;11;1365;0.2751;jinko_solar;405;0.8
oslo;12;1477;0.2751;jinko_solar;405;0.8
paris;1;397;0.1723;jinko_solar;405;0.8
paris;2;354;0.1723;jinko_solar;405;0.8
paris;3;362;0.1723;jinko_solar;405;0.8
paris;4;334;0.1723;jinko_solar;405;0.8
paris;5;345;0.1723;jinko_solar;405;0.8
paris;6;367;0.1723;jinko_solar;405;0.8
paris;7;392;0.1723;jinko_solar;405;0.8
paris;8;385;0.1723;jinko_solar;405;0.8
paris;9;352;0.1723;jinko_solar;405;0.8
paris;10;360;0.1723;jinko_solar;405;0.8
paris;11;402;0.1723;jinko_solar;405;0.8
paris;12;423;0.1723;jinko_solar;405;0.8
podgorica;1;269;0.079;jinko_solar;405;0.8
podgorica;2;253;0.079;jinko_solar;405;0.8
podgorica;3;274;0.079;jinko_solar;405;0.8
podgorica;4;310;0.079;jinko_solar;405;0.8
podgorica;5;352;0.079;jinko_solar;405;0.8
podgorica;6;381;0.079;jinko_solar;405;0.8
podgorica;7;392;0.079;jinko_solar;405;0.8
podgorica;8;365;0.079;jinko_solar;405;0.8
podgorica;9;320;0.079;jinko_solar;405;0.8
podgorica;10;287;0.079;jinko_solar;405;0.8
podgorica;11;264;0.079;jinko_solar;405;0.8
podgorica;12;258;0.079;jinko_solar;405;0.8
prague;1;332;0.3605;jinko_solar;405;0.8
prague;2;297;0.3605;jinko_solar;405;0.8
prague;3;301;0.3605;jinko_solar;405;0.8
prague;4;280;0.3605;jinko_solar;405;0.8
prague;5;292;0.3605;jinko_solar;405;0.8
prague;6;313;0.3605;jinko_solar;405;0.8
prague;7;338;0.3605;jinko_solar;405;0.8
prague;8;331;0.3605;jinko_solar;405;0.8
prague;9;304;0.3605;jinko_solar;405;0.8
prague;10;314;0.3605;jinko_solar;405;0.8
prague;11;345;0.3605;jinko_solar;405;0.8
prague;12;355;0.3605;jinko_solar;405;0.8
reykjavik;1;1277;0.1205;jinko_solar;405;0.8
reykjavik;2;1126;0.1205;jinko_solar;405;0.8
reykjavik;3;1068;0.1205;jinko_solar;405;0.8
reykjavik;4;976;0.1205;jinko_solar;405;0.8
reykjavik;5;962;0.1205;jinko_solar;405;0.8
reykjavik;6;982;0.1205;jinko_solar;405;0.8
reykjavik;7;1069;0.1205;jinko_solar;405;0.8
reykjavik;8;1164;0.1205;jinko_solar;405;0.8
reykjavik;9;1195;0.1205;jinko_solar;405;0.8
reykjavik;10;1254;0.1205;jinko_solar;405;0.8
