,city,month,latitude,longitude,hours_of_sun,temp,humidity,precip,cloudcover,avg_mth_en_consumption_house_kwh,energy_price_eur_kwh,solar_panel_power_kwh,monthly_energy_produced_kwh,montlhy_energy_cost_eur,montlhy_solar_panel_cost_saved,money_saved,encoded_city,country
137,kyiv,6,50.451,30.524,490.97388888888895,21.823333333333334,54.47666666666667,1.4400000000000002,56.263333333333335,464,0.042,405,86.9679233475,19.488,3.6526527805950004,19.0,11,ukraine
138,kyiv,7,50.451,30.524,493.88694444444445,21.19677419354839,61.593548387096774,1.2806451612903227,59.670967741935485,458,0.042,405,80.6678291830645,19.236,3.388048825688709,18.0,11,ukraine
139,kyiv,8,50.451,30.524,448.2316666666667,22.238709677419354,67.94516129032259,2.009677419354839,68.18709677419355,418,0.042,405,57.75118006935485,17.556,2.425549562912904,14.0,11,ukraine
140,kyiv,9,50.451,30.524,378.60333333333335,12.783333333333333,76.17333333333333,2.1533333333333333,79.41666666666667,370,0.042,405,31.561320375,15.540000000000001,1.3255754557500001,9.0,11,ukraine
141,kyiv,10,50.451,30.524,332.3458333333333,10.438709677419356,75.85483870967742,1.1580645161290322,62.877419354838715,341,0.042,405,49.96701674999999,14.322000000000001,2.0986147035,15.0,11,ukraine
142,kyiv,11,50.451,30.524,270.43083333333334,3.3800000000000003,87.38333333333334,2.203333333333333,85.94,319,0.042,405,15.399142942500006,13.398000000000001,0.6467640035850003,5.0,11,ukraine
143,kyiv,12,50.451,30.524,250.84166666666667,-0.7548387096774193,85.02903225806452,1.635483870967742,86.73548387096774,313,0.042,405,13.475537999999997,13.146,0.5659725959999999,4.0,11,ukraine
144,lisbon,1,38.72599999999999,-9.149,304.2663888888889,11.887096774193548,68.54516129032258,0.14232258064516132,35.309677419354834,373,0.1972,405,79.71651793306454,73.5556,15.720097336400325,21.0,12,portugal
145,lisbon,2,38.726,-9.149,301.3688888888889,13.667857142857143,64.80357142857143,0.2576428571428571,38.46785714285714,378,0.1972,405,75.10268777142856,74.54159999999999,14.810250028525711,20.0,12,portugal
146,lisbon,3,38.72599999999999,-9.149,371.03805555555556,13.716129032258063,74.31935483870969,3.0215483870967743,49.71935483870968,401,0.1972,405,75.55693289153226,79.07719999999999,14.89982716621016,19.0,12,portugal
147,lisbon,4,38.726,-9.149,396.85583333333335,14.99,67.26666666666667,1.4867333333333335,46.093333333333334,417,0.1972,405,86.642359245,82.2324,17.085873243113998,21.0,12,portugal
148,lisbon,5,38.72599999999999,-9.149,443.07194444444445,20.34193548387097,58.354838709677416,0.18787096774193546,47.84516129032258,429,0.1972,405,93.58880048709679,84.5988,18.455711456055486,22.0,12,portugal
149,lisbon,6,38.726,-9.149,444.90472222222223,20.44,66.84,0.26406666666666667,40.663333333333334,452,0.1972,405,106.91661096374999,89.1344,21.083955682051496,24.0,12,portugal
150,lisbon,7,38.72599999999999,-9.149,451.46555555555557,24.783870967741933,53.81612903225806,0.015419354838709676,27.703225806451613,466,0.1972,405,132.18998847096773,91.89519999999999,26.067865726474835,28.0,12,portugal
151,lisbon,8,38.72599999999999,-9.149,422.6713888888889,22.270967741935483,66.86774193548388,3.2258064516129034e-05,32.47741935483871,459,0.1972,405,115.58644491774194,90.5148,22.79364693777871,25.0,12,portugal
152,lisbon,9,38.726,-9.149,372.96694444444444,21.42,72.3,1.5194333333333332,41.526666666666664,426,0.1972,405,88.32491288249999,84.0072,17.417672820428997,21.0,12,portugal
