,city,month,latitude,longitude,hours_of_sun,temp,humidity,precip,cloudcover,avg_mth_en_consumption_house_kwh,energy_price_eur_kwh,solar_panel_power_kwh,monthly_energy_produced_kwh,montlhy_energy_cost_eur,montlhy_solar_panel_cost_saved,money_saved,solar_panel_price,years_to_pay_the_solar_panel
244,madrid,5,40.42,-3.6919999999999997,447.44138888888887,19.916129032258063,47.82258064516129,0.3300967741935483,36.351612903225806,454,0.2966,405.0,114.95890460743098,134.6564,34.096811106564026,25.0,700,1.7108149249213367
245,madrid,6,40.42,-3.692,450.2625,24.38,36.5,0.03556666666666666,33.653333333333336,465,0.2966,405.0,120.9443036379228,137.91899999999998,35.8720804590079,26.0,700,1.626148597653615
246,madrid,7,40.42,-3.6919999999999997,456.4352777777778,29.23548387096774,28.845161290322583,0.16348387096774192,9.041935483870969,473,0.2966,405.0,167.86681668446238,140.2918,49.78929782861154,35.0,700,1.1716038561968218
247,madrid,8,40.42,-3.6919999999999997,425.71972222222223,27.458064516129035,35.00322580645161,0.07235483870967743,19.85483870967742,463,0.2966,405.0,138.08348956969633,137.3258,40.955563006371925,30.0,700,1.424307934046902
248,madrid,9,40.42,-3.692,373.6355555555555,20.956666666666667,50.27333333333333,0.7941666666666667,37.74333333333333,451,0.2966,405.0,93.460111385846,133.76659999999998,27.720269037041923,21.0,700,2.104356680499165
249,madrid,10,40.42,-3.6919999999999997,344.82416666666666,17.848387096774193,62.3,0.735516129032258,50.70967741935484,440,0.2966,405.0,68.32950392597012,130.504,20.266530864442736,16.0,700,2.8783087605623776
250,madrid,11,40.42,-3.692,298.5625,11.120000000000001,78.08,1.1860666666666666,58.763333333333335,425,0.2966,405.0,49.27107308276419,126.05499999999999,14.613800276347858,12.0,700,3.9916607747640196
251,madrid,12,40.42,-3.6919999999999997,289.5761111111111,8.961290322580645,88.68064516129031,4.022903225806452,70.41290322580646,425,0.2966,405.0,33.303334204459944,126.05499999999999,9.877768925042819,8.0,700,5.90551710370978
252,minsk,1,53.904,27.566,250.38805555555558,-2.358064516129032,87.74516129032257,1.481818181818182,81.41935483870968,347,0.056,405.0,18.562899294052784,19.432000000000002,1.039522360466956,5.0,700,56.115515694275075
253,minsk,2,53.904,27.566,274.3025,-0.3428571428571429,83.91785714285713,1.1892857142857143,66.88214285714285,315,0.056,405.0,36.3539040132253,17.64,2.035818624740617,12.0,700,28.65350214622659
254,minsk,3,53.904,27.566,368.40722222222223,0.5225806451612903,64.29354838709678,0.07419354838709677,33.90967741935484,332,0.056,405.0,98.53685396859709,18.592,5.518063822241437,30.0,700,10.571340820345629
255,minsk,4,53.904,27.566,421.75166666666667,4.943333333333333,77.23333333333333,3.02,59.376666666666665,375,0.056,405.0,67.29294992360849,21.0,3.7684051957220754,18.0,700,15.47958096426409
256,minsk,5,53.904,27.566,495.4763888888889,10.996774193548386,66.51935483870967,1.493548387096774,35.87096774193548,430,0.056,405.0,126.76441262420136,24.080000000000002,7.0988071069552765,29.0,700,8.21734306263646
257,minsk,6,53.904,27.566,510.7433333333334,18.48,71.87666666666668,1.2,32.00666666666667,459,0.056,405.0,138.95718484283998,25.704,7.781602351199039,30.0,700,7.49631383108968
258,minsk,7,53.904,27.566,511.73638888888894,18.0,76.24193548387096,1.8870967741935485,39.67741935483871,459,0.056,405.0,122.66124348295396,25.704,6.869029635045422,27.0,700,8.49222327353485
259,minsk,8,53.904,27.566,458.52444444444444,20.82903225806452,68.80322580645162,0.39354838709677425,27.358064516129033,416,0.056,405.0,134.36692941460646,23.296,7.524548047217962,32.0,700,7.752403595176831
260,minsk,9,53.904,27.566,380.80027777777775,10.103333333333333,82.51666666666667,1.3299999999999998,74.57,373,0.056,405.0,38.69757655769363,20.888,2.1670642872308434,10.0,700,26.918136982393758
261,minsk,10,53.904,27.566,326.685,8.306451612903226,87.69354838709677,1.5903225806451615,74.44193548387096,346,0.056,405.0,33.27744600882978,19.376,1.8635369764944676,10.0,700,31.30248235968207
262,minsk,11,53.904,27.566,257.3725,1.4933333333333332,92.09666666666666,1.37,92.88333333333334,325,0.056,405.0,7.316490652576868,18.2,0.40972347654430463,2.0,700,142.37244549745876
263,minsk,12,53.904,27.566,232.43444444444444,-3.5483870967741935,92.40967741935484,2.0806451612903225,90.70322580645161,315,0.056,405.0,8.569516824978665,17.64,0.47989294219880524,3.0,700,121.5548890259936
264,oslo,1,59.912,10.75,213.35,-0.6903225806451614,78.18064516129031,27.603290322580644,70.20322580645161,1316,0.2751,405.0,18.639563969881646,362.0316,5.127744048114441,1.0,700,11.376022825239005
265,oslo,2,59.912,10.75,257.17805555555555,-0.4357142857142858,79.66428571428571,21.484428571428573,62.54642857142857,1180,0.2751,405.0,30.629362945834647,324.618,8.426137746399112,3.0,700,6.922902887299929
266,oslo,3,59.912,10.75,367.11,1.2032258064516128,70.63548387096773,20.511548387096774,44.74193548387097,1187,0.2751,405.0,65.30567826133395,326.5437,17.965592089692972,6.0,700,3.246947444988452
267,oslo,4,59.912,10.75,438.0675,5.243333333333334,51.96666666666667,0.22633333333333333,59.56666666666667,1085,0.2751,405.0,71.57338156312989,298.4835,19.689837268017033,7.0,700,2.962611246568626
268,oslo,5,59.912,10.75,532.2386111111111,10.474193548387097,60.380645161290325,0.0,64.69677419354838,1136,0.2751,405.0,76.09844647741937,312.5136,20.93468262593807,7.0,700,2.7864445989287816
269,oslo,6,59.912,10.75,560.4244444444445,16.043333333333333,67.61999999999999,0.0,61.95,1296,0.2751,405.0,86.36280795,356.5296,23.758408467045,7.0,700,2.4552710849401715
270,oslo,7,59.912,10.75,555.1830555555556,16.541935483870965,65.03870967741936,0.1272258064516129,67.43225806451613,1517,0.2751,405.0,73.13512156667181,417.3267,20.119471942991417,5.0,700,2.8993471348860944
271,oslo,8,59.912,10.75,482.00416666666666,16.37741935483871,71.1,0.6806451612903225,59.306451612903224,1513,0.2751,405.0,78.89786777815719,416.22630000000004,21.704803425771043,5.0,700,2.6875771316164823
272,oslo,9,59.912,10.75,385.6433333333333,11.236666666666668,76.95,2.1647666666666665,66.98666666666666,1355,0.2751,405.0,50.44585803386856,372.76050000000004,13.877655545117241,4.0,700,4.203399712846852
273,oslo,10,59.912,10.75,314.00416666666666,7.532258064516129,89.80000000000001,3.776709677419355,73.1741935483871,1321,0.2751,405.0,32.826412635629524,363.4071,9.030546116061682,2.0,700,6.4595576594844
274,oslo,11,59.912,10.75,226.98638888888888,4.61,89.01,3.050433333333333,89.1,1365,0.2751,405.0,9.714651134944996,375.5115,2.6725005272233684,1.0,700,21.827248578296658
275,oslo,12,59.912,10.75,187.76527777777778,-3.7580645161290325,86.25806451612904,16.83616129032258,79.18709677419353,1477,0.2751,405.0,13.1624731909938,406.3227,3.620996374842395,1.0,700,16.109746405330856
276,paris,1,48.857,2.341,272.5108333333334,5.174193548387097,85.24838709677418,1.7751612903225806,76.80000000000001,397,0.1723,405.0,25.150585758697737,68.40310000000001,4.333445926223621,6.0,700,13.46118869981329
277,paris,2,48.857000000000006,2.341,285.2261111111111,7.903571428571429,74.48928571428571,0.8293928571428572,68.06071428571428,354,0.1723,405.0,36.58916304081614,60.994200000000006,6.304312791932621,10.0,700,9.252924983033866
278,paris,3,48.857,2.341,369.49361111111114,10.135483870967741,62.92580645161291,0.4731290322580645,55.832258064516125,362,0.1723,405.0,65.78206518540084,62.372600000000006,11.334249831444565,18.0,700,5.146642627507592
279,paris,4,48.857,2.341,411.77,11.863333333333333,62.5,1.7551,70.03666666666666,334,0.1723,405.0,49.09190286552261,57.5482,8.458534863729547,15.0,700,6.896387409061636
280,paris,5,48.857,2.341,473.94944444444445,17.17096774193548,61.54516129032258,0.4555161290322581,66.2258064516129,345,0.1723,405.0,64.5340956967301,59.4435,11.119224688546598,19.0,700,5.246169132045673
281,paris,6,48.857,2.341,483.1491666666667,19.990000000000002,62.35333333333333,2.357966666666667,62.84,367,0.1723,405.0,70.99843537680078,63.234100000000005,12.233030415422776,19.0,700,4.768510446911802
282,paris,7,48.857,2.341,486.66527777777776,22.612903225806452,53.596774193548384,0.2395483870967742,46.26774193548387,392,0.1723,405.0,105.65228233811054,67.5416,18.203888246856447,27.0,700,3.204443607997136
283,paris,8,48.857,2.341,443.90055555555557,22.77741935483871,56.809677419354834,1.984483870967742,54.7,385,0.1723,405.0,79.8240474854095,66.33550000000001,13.753683381736057,21.0,700,4.241288076385121
284,paris,9,48.857,2.341,377.5566666666667,16.763333333333332,70.94666666666667,1.2452666666666665,72.86999999999999,352,0.1723,405.0,40.96801112607821,60.64960000000001,7.058788317023276,12.0,700,8.263930112857212
285,paris,10,48.857,2.341,334.53277777777777,15.600000000000001,80.4,1.5118709677419355,74.1774193548387,360,0.1723,405.0,34.45698149172099,62.028000000000006,5.936937911023526,10.0,700,9.825491559381438
286,paris,11,48.857,2.341,275.62833333333333,9.753333333333334,85.71000000000001,1.3435000000000001,79.70333333333333,402,0.1723,405.0,22.35266480858501,69.2646,3.8513641465191975,6.0,700,15.146148511055253
287,paris,12,48.857,2.341,258.20000000000005,5.335483870967742,84.66451612903225,1.3130322580645162,88.83870967741936,423,0.1723,405.0,11.51822269901519,72.8829,1.9845897710403173,3.0,700,29.393144207709554
288,podgorica,1,42.435,19.264,293.9522222222222,5.961290322580646,56.57096774193548,1.9789032258064518,39.512903225806454,269,0.079,405.0,70.5852680848538,21.251,5.57623617870345,26.0,700,10.461058582152203
289,podgorica,2,42.435,19.264,296.0105555555555,8.060714285714285,64.21071428571429,5.796464285714285,47.550000000000004,253,0.079,405.0,59.23452594019696,19.987000000000002,4.6795275492755595,23.0,700,12.465645883923465
290,podgorica,3,42.435,19.264,370.41777777777776,9.303225806451612,46.196774193548386,2.6004193548387096,33.78387096774193,274,0.079,405.0,96.75373088786075,21.646,7.6435447401409995,35.0,700,7.6317121592798145
291,podgorica,4,42.43500000000001,19.264,401.61305555555555,14.2,60.40333333333333,3.5343666666666667,53.14333333333333,310,0.079,405.0,73.5202297601588,24.490000000000002,5.808098151052545,24.0,700,10.043448271059633
292,podgorica,5,42.435,19.264,452.9375,21.274193548387096,57.170967741935485,1.078258064516129,41.33548387096774,352,0.079,405.0,106.4536483723704,27.808,8.409838221417262,30.0,700,6.93632050908855
293,podgorica,6,42.43500000000001,19.264,457.0808333333333,26.986666666666668,49.84666666666667,1.1369666666666667,30.59,381,0.079,405.0,127.02933060924606,30.099,10.03531711813044,33.0,700,5.812804184129333
294,podgorica,7,42.435,19.264,462.78694444444443,29.39032258064516,35.86129032258064,0.22274193548387095,18.98709677419355,392,0.079,405.0,151.50322690939197,30.968,11.968754925841965,39.0,700,4.873801301368844
295,podgorica,8,42.435,19.264,429.63666666666666,28.19677419354839,45.63548387096775,0.6548709677419354,35.829032258064515,365,0.079,405.0,110.92808832161073,28.835,8.763318977407248,30.0,700,6.656534297533018
296,podgorica,9,42.43500000000001,19.264,374.5469444444444,21.283333333333335,60.57,8.4242,45.35333333333333,320,0.079,405.0,75.91116892695219,25.28,5.996982345229223,24.0,700,9.727114401085277
297,podgorica,10,42.435,19.264,342.7080555555556,17.183870967741935,66.69677419354838,0.7374516129032258,29.648387096774194,287,0.079,405.0,96.92567083622153,22.673000000000002,7.657127996061501,34.0,700,7.618173989430176
298,podgorica,11,42.43500000000001,19.264,293.77777777777777,12.986666666666668,75.75666666666666,12.593966666666667,58.34666666666667,264,0.079,405.0,43.317674931872,20.856,3.422096319617888,16.0,700,17.04608166606101
299,podgorica,12,42.435,19.264,283.0191666666667,9.890322580645162,89.83225806451614,9.669322580645161,64.73548387096774,258,0.079,405.0,36.512709969676926,20.382,2.884504087604477,14.0,700,20.223002485594673
300,porto,1,41.146,-8.611,297.72583333333336,10.17741935483871,74.9483870967742,1.518,32.82258064516129,373,0.1972,405.0,79.77222743260103,73.5556,15.731083249708922,21.0,700,3.7081574362917884
301,porto,2,41.146,-8.611,298.00305555555553,11.557142857142859,77.21071428571429,0.7769285714285713,48.607142857142854,378,0.1972,405.0,61.54477231022355,74.54159999999999,12.136629099576083,16.0,700,4.806386753251843
302,porto,3,41.146,-8.611,370.7111111111111,12.596774193548388,79.9258064516129,3.587612903225806,59.858064516129026,401,0.1972,405.0,58.10610582182361,79.07719999999999,11.458524068063616,14.0,700,5.090824349351926
303,porto,4,41.146,-8.611,399.95972222222224,12.993333333333334,77.42333333333333,2.2792000000000003,49.71,417,0.1972,405.0,79.60492373760405,82.2324,15.698090961055518,19.0,700,3.715950778858978
304,porto,5,41.146,-8.611,449.4125,17.429032258064513,76.08387096774193,0.6272903225806452,55.190322580645166,429,0.1972,405.0,81.04740624301606,84.5988,15.982548511122765,19.0,700,3.6498142516343566
305,porto,6,41.146,-8.611,452.6661111111111,17.990000000000002,81.86333333333333,1.7468333333333335,49.32333333333334,452,0.1972,405.0,91.28251615032802,89.1344,18.000912184844683,20.0,700,3.240576518252519
306,porto,7,41.146,-8.611,458.6425,21.019354838709678,74.66451612903225,0.13587096774193547,32.76129032258065,466,0.1972,405.0,124.72634864154607,91.89519999999999,24.59603595211288,27.0,700,2.3716558817406637
307,porto,8,41.146,-8.611,427.05361111111114,19.07741935483871,84.49677419354839,0.03412903225806452,52.66451612903226,459,0.1972,405.0,81.84195534572238,90.5148,16.139233594176453,18.0,700,3.614380632942933
308,porto,9,41.146,-8.611,373.9063888888889,19.15,83.14666666666668,2.8803333333333336,53.06666666666667,426,0.1972,405.0,69.025012252592,84.0072,13.611732416211142,16.0,700,4.285518665049585
309,porto,10,41.146,-8.611,344.02694444444444,17.200000000000003,88.8225806451613,0.3822258064516129,55.932258064516134,408,0.1972,405.0,61.16530036154781,80.4576,12.061797231297227,15.0,700,4.836205767244495
310,porto,11,41.146,-8.611,296.8386111111111,14.1,88.12333333333332,0.08866666666666667,64.68,383,0.1972,405.0,42.423926700977695,75.52759999999999,8.365998345432802,11.0,700,6.972668523796552
311,porto,12,41.146,-8.611,287.2608333333333,13.587096774193547,88.1032258064516,0.5258064516129033,65.89354838709677,368,0.1972,405.0,39.47102500581233,72.5696,7.783686131146191,11.0,700,7.494306983925548
312,prague,1,50.079,14.433,267.65611111111116,2.341935483870968,77.45806451612903,0.6050645161290322,81.53548387096774,332,0.3605,405.0,19.894561638700587,119.68599999999999,7.171989470751561,6.0,700,8.133494000684934
313,prague,2,50.079,14.433000000000002,282.78083333333336,4.7,66.49285714285715,0.43210714285714286,70.07142857142857,297,0.3605,405.0,34.12795746173272,107.0685,12.303128664954645,11.0,700,4.741341403629739
314,prague,3,50.079,14.433,369.21805555555557,5.083870967741936,54.167741935483875,0.6565161290322581,39.94516129032258,301,0.3605,405.0,89.21242509294026,108.5105,32.16107924600497,30.0,700,1.813786561300783
315,prague,4,50.079,14.433,413.9475,8.09,62.86666666666667,1.3034666666666666,73.63333333333334,280,0.3605,405.0,43.627207414291185,100.94,15.727608272851972,16.0,700,3.7089767446729165
316,prague,5,50.079,14.433,478.62444444444446,16.358064516129033,57.903225806451616,0.7867741935483871,65.57096774193549,292,0.3605,405.0,66.21315536413354,105.26599999999999,23.86984250877014,23.0,700,2.4438088903142443
317,prague,6,50.079,14.433,489.09361111111116,20.613333333333333,60.13666666666666,5.0616666666666665,58.18,313,0.3605,405.0,78.64527670482038,112.8365,28.351622252087743,25.0,700,2.0574954341118104
318,prague,7,50.079,14.433,492.1197222222222,20.480645161290322,57.71935483870968,2.2557096774193552,56.58064516129032,338,0.3605,405.0,84.58640300766021,121.84899999999999,30.493398284261506,25.0,700,1.9129823704641273
319,prague,8,50.079,14.433,447.1461111111111,21.1,65.5741935483871,3.3325483870967743,61.42258064516129,331,0.3605,405.0,67.53329238126669,119.32549999999999,24.34575190344664,20.0,700,2.3960374509967406
320,prague,9,50.079,14.433,378.3022222222222,14.026666666666667,76.00333333333333,2.2667333333333333,73.66000000000001,304,0.3605,405.0,39.44137994294253,109.592,14.218617469430782,13.0,700,4.102602342228186
321,prague,10,50.079,14.433,332.81916666666666,12.006451612903225,83.32903225806452,0.6228387096774194,71.47741935483872,314,0.3605,405.0,38.20663203643814,113.197,13.773490849135948,12.0,700,4.235188738444819
322,prague,11,50.079,14.433,271.64000000000004,5.176666666666667,89.55666666666666,1.2964,82.83,345,0.3605,405.0,18.64455546395304,124.3725,6.7213622447550705,5.0,700,8.67879623343512
323,prague,12,50.079,14.433,252.60583333333335,1.8709677419354838,83.94516129032259,1.2873870967741936,87.67096774193548,355,0.3605,405.0,12.450879647899985,127.97749999999999,4.488542113067944,4.0,700,12.996053476584665
324,reykjavik,1,64.146,-21.94,172.90027777777777,1.1096774193548387,75.73548387096774,3.447354838709677,82.30000000000001,1277,0.1205,405.0,11.967078966986753,153.8785,1.4420330155219037,1.0,700,40.452148255580134
325,reykjavik,2,64.146,-21.94,240.4702777777778,-1.292857142857143,75.64999999999999,2.71225,77.45357142857142,1126,0.1205,405.0,21.362513280541673,135.683,2.5741828503052715,2.0,700,22.660912889857688
326,reykjavik,3,64.146,-21.94,366.12666666666667,2.2451612903225806,79.88709677419355,3.5783870967741933,85.40967741935484,1068,0.1205,405.0,20.860545967986404,128.694,2.5136957891423615,2.0,700,23.206202431216173
327,reykjavik,4,64.146,-21.94,454.40055555555557,5.3133333333333335,71.94333333333334,1.8052666666666668,79.29666666666667,976,0.1205,405.0,37.412983850419245,117.60799999999999,4.508264553975519,4.0,700,12.939199249496859
328,reykjavik,5,64.146,-21.94,573.1986111111112,7.925806451612903,70.86451612903227,0.9339354838709677,72.33548387096775,962,0.1205,405.0,63.622120775411595,115.92099999999999,7.666465553437097,7.0,700,7.608895249934414
329,reykjavik,6,64.146,-21.94,625.6963888888889,9.883333333333333,73.07333333333332,2.0526666666666666,80.99666666666667,982,0.1205,405.0,47.167306299471164,118.331,5.683660409086275,5.0,700,10.26333896375614
330,reykjavik,7,64.146,-21.94,606.5725,10.851612903225806,80.09354838709677,2.1431612903225807,86.16129032258064,1069,0.1205,405.0,33.267833570097565,128.8145,4.008773945196756,3.0,700,14.551415003888492
331,reykjavik,8,64.146,-21.94,505.6388888888889,10.483870967741936,74.73870967741935,2.024516129032258,74.68387096774192,1164,0.1205,405.0,50.79374204452447,140.262,6.1206459163651985,4.0,700,9.5305845380409
332,reykjavik,9,64.146,-21.94,390.1533333333333,9.483333333333333,78.45333333333333,2.6227,75.28666666666666,1195,0.1205,405.0,38.025891135585546,143.9975,4.582119881838058,3.0,700,12.730643203934173
333,reykjavik,10,64.146,-21.94,301.5208333333333,5.051612903225807,77.16774193548386,2.3790645161290325,75.01290322580645,1254,0.1205,405.0,29.78729811214013,151.107,3.5893694225128856,2.0,700,16.25169395143916
334,reykjavik,11,64.146,-21.94,194.86138888888888,5.29,72.86999999999999,1.9516,71.13000000000001,1303,0.1205,405.0,22.339225487467214,157.01149999999998,2.691876671239799,2.0,700,21.670135915426883
335,reykjavik,12,64.146,-21.94,135.3727777777778,-3.883870967741936,73.28064516129032,1.0833225806451612,50.03548387096774,1324,0.1205,405.0,27.09677279182951,159.542,3.2651611214154554,2.0,700,17.86537667337093
336,rome,1,41.903,12.496,295.5213888888889,7.529032258064516,72.14516129032258,0.5214193548387097,23.664516129032258,423,0.3192,405.0,90.88662684703745,135.0216,29.011011289574352,21.0,700,2.0107307791195996
337,rome,2,41.903,12.496,296.8275,9.814285714285715,67.10714285714286,0.5159642857142857,26.139285714285712,396,0.3192,405.0,88.33362547073295,126.4032,28.196093250257956,22.0,700,2.068844531601897
338,rome,3,41.903,12.496,370.52166666666665,9.63225806451613,57.380645161290325,0.8053548387096775,17.506451612903227,412,0.3192,405.0,122.79391473694727,131.5104,39.19581758403357,30.0,700,1.4882540262942605
339,rome,4,41.903,12.496,400.9038888888889,13.386666666666667,62.70333333333333,1.0806333333333333,40.0,415,0.3192,405.0,96.36689584291501,132.468,30.760313153058473,23.0,700,1.8963829478287773
340,rome,5,41.903,12.496,451.4502777777778,20.216129032258067,59.167741935483875,0.5195161290322581,29.825806451612905,422,0.3192,405.0,127.63808131631635,134.70239999999998,40.742075556168174,30.0,700,1.4317712717633482
341,rome,6,41.903,12.496,455.23,25.64333333333333,52.1,0.13219999999999998,22.6,449,0.3192,405.0,142.5122974466118,143.3208,45.489925344958486,32.0,700,1.2823352179846619
342,rome,7,41.903,12.496,461.06138888888887,27.316129032258065,56.18709677419355,0.5629032258064516,16.07741935483871,464,0.3192,405.0,155.82640213409093,148.1088,49.73978756120182,34.0,700,1.1727700537835564
343,rome,8,41.903,12.496,428.57388888888886,26.40967741935484,60.76129032258064,0.6436129032258066,28.758064516129032,453,0.3192,405.0,122.86048677961803,144.5976,39.217067380054075,27.0,700,1.4874476147852365
